id_klienta,wiek,zawod,stan_cywilny,wyksztalcenie,debet,hipoteka,pozyczka,liczba_kontaktow,przerwa,poprzednie,poprzedni_wynik,zmiennosc_zatrudnienia,CPI,CCI,EURIBOR3M,wskaznik_zatrudnienia
38001,30,technician,single,university.degree,no,no,yes,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38002,38,admin.,single,university.degree,no,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
38003,31,admin.,married,university.degree,no,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
38004,45,blue-collar,married,high.school,unknown,yes,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38005,51,admin.,married,university.degree,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38006,33,admin.,married,high.school,no,yes,no,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
38007,39,blue-collar,married,basic.4y,no,yes,no,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191
38008,30,blue-collar,single,high.school,no,unknown,unknown,5,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5
38009,30,admin.,married,high.school,no,yes,no,6,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1
38010,54,self-employed,married,high.school,no,no,no,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38011,46,services,divorced,high.school,no,no,no,2,999,1,failure,-1.8,93.075,-47.1,1.466,5099.1
38012,29,admin.,single,university.degree,no,yes,no,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38013,40,admin.,single,basic.9y,no,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
38014,29,admin.,married,university.degree,no,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
38015,33,housemaid,married,university.degree,no,no,no,1,999,0,nonexistent,-2.9,92.963,-40.8,1.099,5076.2
38016,38,technician,married,university.degree,no,yes,no,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2
38017,30,technician,single,high.school,no,yes,no,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38018,42,admin.,married,university.degree,no,no,yes,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38019,50,blue-collar,married,basic.9y,no,yes,yes,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38020,32,blue-collar,married,basic.9y,no,no,no,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
38021,31,technician,single,high.school,unknown,no,no,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38022,37,admin.,married,university.degree,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
38023,47,blue-collar,married,basic.4y,no,no,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
38024,31,services,married,university.degree,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38025,58,management,married,university.degree,no,yes,yes,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
38026,40,admin.,married,university.degree,no,yes,yes,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
38027,34,admin.,married,university.degree,no,yes,yes,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1
38028,37,admin.,married,university.degree,no,no,no,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2
38029,35,admin.,divorced,university.degree,no,no,no,8,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
38030,58,blue-collar,married,basic.4y,no,yes,no,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
38031,57,retired,single,professional.course,no,no,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38032,40,technician,single,university.degree,no,no,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1
38033,31,technician,single,university.degree,no,no,no,1,999,0,nonexistent,-3.4,92.649,-30.1,0.716,5017.5
38034,46,blue-collar,married,basic.4y,no,no,no,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
38035,43,technician,single,professional.course,unknown,no,no,9,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
38036,32,admin.,married,university.degree,unknown,unknown,unknown,56,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
38037,28,admin.,married,university.degree,no,no,yes,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
38038,38,services,married,high.school,unknown,no,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38039,49,services,married,high.school,no,yes,yes,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191
38040,28,entrepreneur,married,basic.9y,unknown,no,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
38041,27,admin.,single,unknown,no,yes,no,3,6,2,success,-1.8,93.369,-34.8,0.639,5008.7
38042,35,services,married,unknown,unknown,yes,yes,9,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
38043,37,technician,married,high.school,unknown,no,yes,6,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
38044,50,blue-collar,married,basic.4y,unknown,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
38045,44,blue-collar,married,high.school,unknown,yes,no,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
38046,59,retired,married,basic.4y,unknown,no,yes,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
38047,34,admin.,married,university.degree,no,no,yes,4,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1
38048,29,technician,married,university.degree,no,no,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
38049,45,services,married,high.school,no,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38050,53,admin.,single,university.degree,unknown,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38051,47,management,married,university.degree,no,yes,yes,4,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
38052,45,blue-collar,married,high.school,unknown,no,no,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
38053,51,housemaid,married,high.school,no,no,no,4,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
38054,21,admin.,single,high.school,no,no,no,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2
38055,32,blue-collar,married,basic.9y,no,no,no,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
38056,31,admin.,single,basic.9y,no,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
38057,42,blue-collar,married,basic.6y,no,yes,yes,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1
38058,64,retired,married,high.school,no,yes,no,1,999,0,nonexistent,-3,92.713,-33,0.715,5023.5
38059,29,admin.,single,university.degree,no,no,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38060,27,blue-collar,single,basic.9y,unknown,yes,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
38061,46,management,single,university.degree,no,no,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38062,28,admin.,married,high.school,no,yes,no,5,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5
38063,26,management,single,university.degree,no,yes,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
38064,30,technician,single,university.degree,no,no,no,5,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
