id_klienta,wiek,zawod,stan_cywilny,wyksztalcenie,debet,hipoteka,pozyczka,liczba_kontaktow,przerwa,poprzednie,poprzedni_wynik,zmiennosc_zatrudnienia,CPI,CCI,EURIBOR3M,wskaznik_zatrudnienia,rezultat
10001,34,technician,single,university.degree,no,yes,yes,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
10002,46,services,married,high.school,no,yes,no,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
10003,36,technician,single,professional.course,no,unknown,unknown,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
10004,37,blue-collar,married,professional.course,no,yes,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
10005,49,admin.,divorced,basic.9y,no,yes,yes,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10006,40,entrepreneur,married,university.degree,no,no,no,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
10007,34,services,married,high.school,no,no,no,3,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no
10008,34,admin.,married,university.degree,no,yes,yes,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
10009,40,management,married,basic.6y,no,no,no,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
10010,44,self-employed,married,university.degree,no,yes,no,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
10011,52,admin.,married,high.school,no,yes,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
10012,52,management,married,high.school,no,yes,yes,1,10,4,failure,-2.9,92.201,-31.4,0.883,5076.2,yes
10013,56,blue-collar,married,basic.9y,unknown,yes,no,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
10014,39,blue-collar,married,basic.9y,no,no,no,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
10015,41,unemployed,married,university.degree,unknown,no,no,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
10016,53,blue-collar,married,basic.9y,unknown,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
10017,37,services,divorced,high.school,no,yes,yes,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10018,34,admin.,single,university.degree,no,no,no,1,7,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes
10019,39,entrepreneur,married,professional.course,no,yes,no,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
10020,38,admin.,married,university.degree,no,yes,yes,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10021,31,blue-collar,single,basic.9y,no,no,no,4,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
10022,33,technician,married,university.degree,no,yes,yes,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
10023,46,admin.,divorced,university.degree,no,yes,yes,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
10024,36,technician,married,high.school,no,yes,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
10025,31,technician,married,university.degree,no,yes,yes,4,6,2,success,-1.1,94.601,-49.5,0.982,4963.6,yes
10026,56,admin.,married,university.degree,no,no,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
10027,43,blue-collar,divorced,basic.9y,unknown,no,no,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
10028,40,admin.,married,university.degree,no,no,no,1,999,1,failure,-2.9,92.963,-40.8,1.262,5076.2,no
10029,41,blue-collar,divorced,basic.9y,no,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
10030,28,services,married,unknown,no,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10031,44,admin.,married,high.school,no,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10032,38,blue-collar,married,basic.4y,no,no,no,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
10033,50,technician,married,professional.course,no,unknown,unknown,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
10034,39,blue-collar,married,basic.9y,unknown,yes,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
10035,40,admin.,married,university.degree,unknown,yes,yes,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
10036,42,blue-collar,married,basic.6y,unknown,no,yes,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
10037,38,blue-collar,married,unknown,no,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10038,25,blue-collar,married,basic.4y,no,no,yes,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,yes
10039,50,entrepreneur,married,basic.9y,no,no,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10040,43,blue-collar,married,basic.6y,no,no,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
10041,58,admin.,married,high.school,no,yes,no,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
10042,29,admin.,single,high.school,no,no,no,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
10043,48,technician,married,university.degree,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
10044,40,self-employed,married,university.degree,no,no,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
10045,43,unknown,married,unknown,no,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10046,32,admin.,single,university.degree,no,no,yes,2,999,1,failure,-0.1,93.2,-42,4.076,5195.8,no
10047,56,admin.,married,basic.4y,no,yes,no,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
10048,28,services,married,high.school,unknown,yes,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
10049,52,blue-collar,married,basic.4y,no,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
10050,33,services,single,high.school,no,yes,no,2,999,0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,no
10051,34,blue-collar,married,professional.course,no,no,no,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
10052,32,blue-collar,married,basic.9y,no,no,no,2,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,no
10053,27,services,single,high.school,no,yes,no,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
10054,43,blue-collar,single,high.school,no,no,yes,1,999,0,nonexistent,-1.8,93.876,-40,0.699,5008.7,no
10055,42,entrepreneur,married,basic.4y,no,yes,no,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
10056,55,blue-collar,married,basic.9y,unknown,yes,no,7,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
10057,58,technician,married,university.degree,no,no,no,1,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
10058,33,self-employed,married,basic.9y,unknown,no,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
10059,33,admin.,married,professional.course,no,yes,yes,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
10060,49,blue-collar,married,basic.9y,no,yes,no,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10061,35,admin.,married,high.school,no,yes,no,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
10062,44,technician,married,university.degree,no,yes,no,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
10063,58,retired,married,professional.course,no,yes,no,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
10064,60,admin.,married,professional.course,no,yes,no,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,yes
10065,52,technician,married,professional.course,no,yes,no,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
10066,43,technician,married,university.degree,unknown,unknown,unknown,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,yes
10067,33,blue-collar,married,basic.4y,no,no,no,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
10068,40,services,married,basic.6y,unknown,no,no,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10069,38,blue-collar,married,professional.course,no,yes,no,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
